gvkey,datadate,fyearq,tic,actq,ancq,aoq,atq,aul3q,ceiexbillq,ceqq,cheq,chq,cogsq,cshiq,cshoq,dpq,drcq,drltq,lctq,ltq,rdipq,revtq,stkcpay,teqq,tfvaq,tfvlq,xrdq,xsgaq
2536,20131231,2013,RAMP,617.299,696.582,481.804,1313.881,0,,685.355,380.908,380.908,175.973,125.265,75.4,25.457,50.149,0,227.747,628.526,0,268.761,,685.355,14.606,0.073,,38.486
2536,20140331,2013,RAMP,665.525,657.776,440.87,1323.301,0,,682.857,418.586,418.586,172.192,125.844,76.64,26.728,47.744,0,249.469,640.444,0,268.562,,682.857,13.9,0.024,23.6,38.595
2536,20140630,2014,RAMP,620.028,657.445,441.123,1277.473,0,,679.434,392.918,392.918,97.17,126.442,77.087,15.92,43.481,0,218.12,598.039,0,186.683,,679.434,14.069,0.175,16.35,69.013
2536,20140930,2014,RAMP,378.853,936.375,714.565,1315.228,0,,678.482,140.81,109.81,109.175,127.066,76.966,18.257,35.678,0,251.764,636.746,0,204.248,,678.482,13.646,0,19.798,74.135
2536,20141231,2014,RAMP,392.031,921.922,705.434,1313.953,0,,690.408,157.891,126.891,105.297,127.234,77.134,20.51,37.944,0,242.344,623.545,0,208.246,,690.408,14.174,0.029,18.973,73.931
2536,20150331,2014,RAMP,414.054,908.37,687.78,1322.424,0,,703.257,172.01,141.01,101.948,127.939,77.836,21.444,37.278,0,248.015,619.167,0,205.734,,703.257,14.174,0.199,19.08,72.489
2536,20150630,2015,RAMP,513.905,781.126,601.385,1295.031,0,,698.302,154.192,123.192,95.934,128.472,77.471,20.333,33.554,0,323.148,596.729,0,196.895,,698.302,14.815,0.188,20.011,77.834
2536,20150930,2015,RAMP,377.384,775.237,599.069,1152.621,0,,703.976,181.075,180.945,100.677,129.566,77.761,20.557,36.051,0,190.323,448.645,0,207.345,,703.976,12.752,0.269,19.078,78.758
2536,20151231,2015,RAMP,386.503,775.061,596.667,1161.564,0,,704.443,186.39,186.39,104.924,129.875,77.588,20.733,42.681,0,206.026,457.121,0,221.193,,704.443,12.731,0.052,18.4,85.146
2536,20160331,2015,RAMP,376.01,773.839,590.796,1149.849,0,,698.968,189.629,189.629,101.384,130.39,77.359,21.99,44.477,0,224,450.881,0,224.655,,698.968,12.532,0.115,16.758,93.244
2536,20160630,2016,RAMP,320.34,763.624,584.413,1083.964,0,,693.764,150.16,150.16,102.029,131.025,77.001,20.79,38.378,0,172.566,390.2,0,214.801,,693.764,12.8,0.109,18.652,83.506
2536,20160930,2016,RAMP,354.181,747.876,572.94,1102.057,0,,707.488,175.409,175.409,99.745,131.904,77.367,20.36,33.394,0,183.969,394.569,0,217.267,,707.488,12.326,0.019,19.029,88.287
2536,20161231,2016,RAMP,323.934,885.94,711.935,1209.874,0,,723.11,143.73,137.85,96.521,132.224,77.667,19.947,32.644,0,214.08,486.764,0,223.312,,723.11,12.443,0.002,20.95,91.501
2536,20170331,2016,RAMP,368.519,866.019,710.045,1234.538,0,,738.98,176.223,170.343,96.701,132.875,78.293,21.593,37.087,0,230.213,495.558,0,224.867,,738.98,12.716,0,23.478,106.566
2536,20170630,2017,RAMP,355.219,858.678,704.428,1213.897,0,,753.457,169.026,163.146,14.862,134.066,79.204,9.199,32.522,0,156.616,460.44,0,46.757,,753.457,13.608,0,14.84,55.399
2536,20170930,2017,RAMP,367.904,848.868,697.813,1216.772,0,,753.096,175.387,169.507,14.277,134.778,79.029,9.732,29.411,0,164.835,463.676,0,54.013,,753.096,13.519,0,15.599,59.851
2536,20171231,2017,RAMP,382.163,844.327,691.288,1226.49,0,,774.111,177.807,177.807,15.202,135.52,78.959,9.324,34.169,0,172.808,452.379,0,59.121,,774.111,14.111,0,14.311,57.858
2536,20180331,2017,RAMP,360.345,848.908,692.375,1209.253,0,,749.095,142.279,142.279,14.408,136.08,77.775,9.392,31.72,0,178.355,460.158,0,60.21,,749.095,13.551,0,15.963,63.612
2536,20180630,2018,RAMP,310.794,856.174,704.767,1166.968,0,,722.056,95.099,95.099,14.125,137.723,77.173,9.53,31.621,0,161.493,444.912,0,62.471,,722.056,14.344,0,16.97,68.417
2536,20180930,2018,RAMP,873.642,314.15,285.665,1187.792,0,,760.678,87.047,87.047,17.456,138.356,77.705,7.01,2.982,0,174.762,427.114,0,64.812,,760.678,15.223,0,16.94,75.934
2536,20181231,2018,RAMP,1646.046,281.472,256.885,1927.518,0,,1359.616,1546.774,1546.774,26.103,140.838,68.094,6.775,2.929,0,540.739,567.902,0,80.021,,1359.616,13.706,0,20.469,87.651
3382,20130331,2013,SSTK,134.745,22.965,17.305,157.71,,,83.548,107.013,107.013,19.403,33.517,33.517,0.779,43.336,0,73.291,74.162,0,51.117,0.552,83.548,,,4.555,20.827
3382,20130630,2013,SSTK,148.618,23.93,17.152,172.548,,,95.602,112.803,112.803,21.219,33.692,33.692,0.946,46.736,0,75.106,76.946,0,56.809,1.526,95.602,,,5.06,23.711
3382,20130930,2013,SSTK,233.446,25.51,16.876,258.956,,,173.2,195.519,195.519,22.304,35.004,35.004,1.013,49.929,0,84.047,85.756,0,59.558,3.22,173.2,,,5.685,26.328
3382,20131231,2013,SSTK,243.188,35.3,15.044,278.488,0,,182.599,210.027,155.355,25.331,35.071,35.071,1.132,52.1,0,91.928,95.889,0,68.031,4.496,182.599,54.429,0,6.464,29.074
3382,20140331,2014,SSTK,250.547,56.213,30.415,306.76,0,,199.121,213.215,157.978,28.203,35.196,35.196,1.551,60.855,0,98.087,107.639,0,72.777,2.15,199.121,54.994,0,7.777,33.282
3382,20140630,2014,SSTK,274.024,59.295,31.72,333.319,0,,215.465,236.279,180.851,30.912,35.334,35.334,2.081,66.437,0,106.06,117.854,0,80.239,6.28,215.465,136.033,2.4,9.275,38.835
3382,20140930,2014,SSTK,296.589,59.414,32.992,356.003,0,,230.233,260.668,210.76,32.096,35.43,35.43,2.125,71.85,0,114.07,125.77,0,83.729,10.473,230.233,136.062,2.47,9.87,40.295
3382,20141231,2014,SSTK,323.53,60.247,33.503,383.777,0,,251.433,288.479,233.453,34.43,35.603,35.603,2.16,75.789,0,120.327,132.344,0,91.226,15.96,251.433,136.088,2.56,11.379,42.198
3382,20150331,2015,SSTK,289.742,131.026,103.883,420.768,0,,261.814,245.471,190.479,38.104,35.823,35.823,2.995,83.685,0,141.374,158.954,0,97.522,4.846,261.814,136.063,6.675,10.684,47.828
3382,20150630,2015,SSTK,313.39,135.969,107.005,449.359,0,,283.622,266.37,211.479,40.952,35.981,35.981,3.499,89.279,0,147.71,165.737,0,104.365,9.694,283.622,136.167,7.105,10.189,50.22
3382,20150930,2015,SSTK,330.238,134.769,104.892,465.007,0,,292.9,282.098,229.607,42.698,36.076,36.076,3.869,94.314,0,154.848,172.107,0,107.26,14.626,292.9,136.201,7.331,10.827,52.606
3382,20151231,2015,SSTK,335.675,133.446,101.352,469.121,0,,288.565,288.382,241.304,45.618,36.146,35.686,4.478,98.239,0,160.784,180.556,0,116.002,18.712,288.565,136.231,11.075,9.622,50.877
3382,20160331,2016,SSTK,329.269,140.054,102.17,469.323,0,,277.152,275.543,220.563,46.26,36.453,35.113,4.204,105.5,0,170.425,192.171,0,116.652,4.766,277.152,136.321,13.44,11.225,53.715
3382,20160630,2016,SSTK,328.815,139.562,98.215,468.377,0,,274.133,265.892,210.918,50.185,36.649,34.909,4.801,111.258,0,183.817,194.244,0,124.419,9.408,274.133,136.41,9.57,11.971,58.956
3382,20160930,2016,SSTK,351.905,155.428,105.614,507.333,0,,293.345,290.404,237.997,47.972,36.854,35.115,5.176,117.877,0,202.822,213.988,0,123.073,13.577,293.345,136.502,9.7,11.604,58.662
3382,20161231,2016,SSTK,339.838,161.94,105.839,501.778,0,,286.696,279.162,224.19,50.4,36.926,34.816,5.765,122.235,0,203.497,215.082,0,130.173,18.032,286.696,136.595,10,12.989,60.781
3382,20170331,2017,SSTK,316.305,170.255,106.377,486.56,0,,275.921,250.296,195.395,45.455,37.11,34.551,6.956,126.812,0,196.137,210.639,0,130.224,3.766,275.921,136.654,0,11.044,67.51
3382,20170630,2017,SSTK,332.932,178.032,108.563,510.964,0,,291.543,265.513,210.55,49.524,37.171,34.612,7.765,135.99,0,205.694,219.421,0,133.995,8.374,291.543,131.756,0,12.892,72.621
3382,20170930,2017,SSTK,316.056,236.493,158.723,552.549,0,,307.38,235.282,212.782,48.585,37.219,34.66,10.227,146.43,0,230.366,245.169,0,141.063,12.728,307.38,55.641,0,13.34,76.167
3382,20171231,2017,SSTK,340.469,237.307,151.609,577.776,0,,314.585,253.428,253.428,54.048,37.27,34.712,10.542,157.803,0,245.742,263.191,0,151.829,15.782,314.585,55.775,0,15.21,79.31
3382,20180331,2018,SSTK,363.04,243.507,155.317,606.547,,,357.164,284.882,284.882,53.547,37.439,34.881,10.943,139.498,0,230.921,249.383,0,153.019,4.33,357.164,,,16.448,84.04
3382,20180630,2018,SSTK,361.892,231.363,146.67,593.255,,,358.913,289.841,289.841,56.607,37.51,34.952,11.284,139.879,0,216.004,234.342,0,156.584,9.295,358.913,,,16.728,83.068
